.text,004006C0,_start,B0,T,31ED,xor,xor_11,ebp,ebp,1,1,N,,xor,S
.text,004006C2,_start,B0,T,4989D1,mov,mov_11,r9,rdx,1,1,N,,mov,C
.text,004006C5,_start,B0,T,5E,pop,pop_10,rsi,,1,0,N,,pop,C
.text,004006C6,_start,B0,T,4889E2,mov,mov_11,rdx,rsp,1,1,N,,mov,C
.text,004006C9,_start,B0,T,4883E4F0,and,and_15,rsp,0FFFFFFFFFFFFFFF0h,1,5,N,,and,C
.text,004006CD,_start,B0,T,50,push,push_10,rax,,1,0,N,,push,C
.text,004006CE,_start,B0,T,54,push,push_10,rsp,,1,0,N,,push,C
.text,004006CF,_start,B0,T,49C7C040124000,mov,mov_15,r8,offset __libc_csu_fini,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006D6,_start,B0,T,48C7C1D0114000,mov,mov_15,rcx,offset __libc_csu_init,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006DD,_start,B0,T,48C7C7280F4000,mov,mov_15,rdi,offset main,1,5,N,_r.CODE,mov_r.CODE,C
.text,004006E4,_start,B0,T,E867FFFFFF,call,call_70,___libc_start_main,,7,0,J,.CODE,call.CODE,C
.text,004006E9,_start,B0,T,F4,hlt,hlt_00,,,0,0,N,,hlt,C
.text,004006F0,deregister_tm_clones,B1,T,B8AF166000,mov,mov_15,eax,offset unk_6016AF,1,5,N,_r.BSS,mov_r.BSS,S
.text,004006F5,deregister_tm_clones,B1,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,004006F6,deregister_tm_clones,B1,T,482DA8166000,sub,sub_15,rax,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,004006FC,deregister_tm_clones,B1,T,4883F80E,cmp,cmp_15,rax,0Eh,1,5,N,,cmp,C
.text,00400700,deregister_tm_clones,B1,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400703,deregister_tm_clones,B1,T,761B,jbe,jbe_70,loc_400720,,7,0,J,.CODE,jbe.CODE,C
.text,00400705,deregister_tm_clones,B2,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
.text,0040070A,deregister_tm_clones,B2,T,4885C0,test,test_11,rax,rax,1,1,N,,test,C
.text,0040070D,deregister_tm_clones,B2,T,7411,jz,jz_70,loc_400720,,7,0,J,.CODE,jz.CODE,C
.text,0040070F,deregister_tm_clones,B3,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400710,deregister_tm_clones,B3,T,BFA8166000,mov,mov_15,edi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,C
.text,00400715,deregister_tm_clones,B3,T,FFE0,jmp,jmp_10,rax,,1,0,J,,jmp,C
.text,00400720,deregister_tm_clones,B4,T,5D,pop,pop_10,rbp,,1,0,N,,pop,C
.text,00400721,deregister_tm_clones,B4,T,C3,retn,retn_00,,,0,0,N,,retn,C
.text,00400730,register_tm_clones,B5,T,BEA8166000,mov,mov_15,esi,offset __bss_start,1,5,N,_r.BSS,mov_r.BSS,S
.text,00400735,register_tm_clones,B5,T,55,push,push_10,rbp,,1,0,N,,push,C
.text,00400736,register_tm_clones,B5,T,4881EEA8166000,sub,sub_15,rsi,offset __bss_start,1,5,N,_r.BSS,sub_r.BSS,C
.text,0040073D,register_tm_clones,B5,T,48C1FE03,sar,sar_15,rsi,3,1,5,N,,sar,C
.text,00400741,register_tm_clones,B5,T,4889E5,mov,mov_11,rbp,rsp,1,1,N,,mov,C
.text,00400744,register_tm_clones,B5,T,4889F0,mov,mov_11,rax,rsi,1,1,N,,mov,C
.text,00400747,register_tm_clones,B5,T,48C1E83F,shr,shr_15,rax,3Fh,1,5,N,,shr,C
.text,0040074B,register_tm_clones,B5,T,4801C6,add,add_11,rsi,rax,1,1,N,,add,C
.text,0040074E,register_tm_clones,B5,T,48D1FE,sar,sar_15,rsi,1,1,5,N,,sar,C
.text,00400751,register_tm_clones,B5,T,7415,jz,jz_70,loc_400768,,7,0,J,.CODE,jz.CODE,C
.text,00400753,register_tm_clones,B6,T,B800000000,mov,mov_15,eax,0,1,5,N,,mov,C
